Division2,Extranjero,Altura,Peso,Edad,PiernaPreferida,Posicion,Valor,SueldoMensual,CalidadActual,CalidadPotencial
Argentina (Premier Division),NO,175,76,32,Diestro,Delantero,1800000,23000,135,146
Argentina (Premier Division),NO,179,72,20,Diestro,Delantero,5250000,5200,121,146
Argentina (Premier Division),NO,186,85,30,Diestro,Defensor,2000000,20000,129,145
Argentina (Premier Division),SI,176,70,24,Diestro,Delantero,2600000,21000,129,145
Argentina (Premier Division),NO,174,72,35,Diestro,Delantero,250000,21000,131,145
Argentina (Premier Division),NO,180,78,22,Diestro,Mediocampista,575000,31000,125,145
Argentina (Premier Division),NO,174,67,16,Diestro,Delantero,450000,100,88,145
Argentina (Premier Division),NO,188,84,27,Zurdo,Arquero,2400000,17200,137,145
Argentina (Premier Division),NO,178,75,27,Diestro,Mediocampista,2400000,216000,132,145
Argentina (Metropolitan Zone),NO,182,68,16,Diestro,Delantero,225000,4000,88,145
Argentina (Premier Division),NO,190,82,22,Diestro,Defensor,2900000,16800,133,145
Argentina (Premier Division),NO,170,72,31,Diestro,Delantero,2600000,23000,132,145
Argentina (Premier Division),NO,187,83,29,Diestro,Defensor,3000000,25000,136,145
Argentina (Premier Division),NO,169,66,22,Diestro,Delantero,1800000,16800,125,145
Argentina (Premier Division),NO,169,71,31,Diestro,Defensor,2300000,25000,137,145
Argentina (Second Division),SI,180,79,34,Diestro,Mediocampista,170000,14800,127,145
Argentina (Premier Division),NO,167,66,23,Diestro,Delantero,3000000,22000,130,145
Argentina (Premier Division),NO,174,70,26,Diestro,Delantero,3300000,48000,130,145
Argentina (Second Division),NO,160,55,16,Diestro,Delantero,170000,20,84,145
Argentina (Premier Division),NO,188,77,19,Diestro,Delantero,850000,6400,102,145
Argentina (Second Division),NO,187,76,17,Zurdo,Mediocampista,215000,2400,89,144
Argentina (Premier Division),NO,173,67,19,Ambidiestro,Mediocampista,1000000,100,110,144
Argentina (Premier Division),NO,164,59,18,Diestro,Mediocampista,900000,1300,108,144
Argentina (Premier Division),NO,179,69,17,Diestro,Delantero,500000,100,90,144
Argentina (Premier Division),NO,177,69,18,Diestro,Mediocampista,450000,100,95,144
Argentina (Premier Division),NO,188,76,20,Zurdo,Defensor,2200000,100,123,144
Argentina (Premier Division),NO,178,75,37,Diestro,Mediocampista,235000,15600,127,144
Argentina (Premier Division),NO,181,75,32,Diestro,Defensor,1700000,36000,134,144
Argentina (Premier Division),NO,170,55,16,Diestro,Mediocampista,170000,100,85,144
Argentina (Premier Division),NO,187,80,29,Zurdo,Defensor,3400000,160000,137,144
Argentina (Premier Division),NO,184,80,34,Diestro,Defensor,350000,12800,124,144
Argentina (Premier Division),NO,171,68,18,Zurdo,Delantero,825000,8000,100,143
Argentina (Premier Division),NO,163,61,18,Zurdo,Delantero,250000,100,91,143
Argentina (Premier Division),NO,162,64,23,Diestro,Defensor,2900000,22000,128,143
Argentina (Premier Division),NO,182,74,17,Zurdo,Defensor,450000,5200,101,143
Argentina (Premier Division),NO,175,72,22,Diestro,Defensor,2400000,21000,131,143
Argentina (Premier Division),NO,181,76,34,Diestro,Delantero,500000,27000,136,143
Argentina (Premier Division),SI,184,82,31,Diestro,Delantero,1300000,12000,130,143
Argentina (Premier Division),NO,180,78,36,Zurdo,Defensor,300000,24000,133,143
Argentina (Premier Division),NO,170,64,30,Diestro,Defensor,2000000,21000,128,143
Argentina (Premier Division),NO,178,64,16,Diestro,Defensor,225000,100,83,143
Argentina (Premier Division),SI,183,74,23,Zurdo,Mediocampista,2600000,21000,131,143
Argentina (Premier Division),NO,177,71,18,Diestro,Delantero,1200000,12400,114,143
Argentina (Premier Division),NO,188,79,18,Diestro,Mediocampista,875000,7600,109,143
Argentina (Premier Division),SI,178,65,23,Diestro,Delantero,2700000,21000,130,143
Argentina (Premier Division),NO,190,75,20,Diestro,Delantero,2700000,20000,123,142
Argentina (Premier Division),NO,178,69,18,Diestro,Delantero,325000,100,92,142
Argentina (Premier Division),NO,176,71,24,Diestro,Delantero,3300000,17200,131,142
Argentina (Premier Division),NO,183,76,30,Zurdo,Defensor,1500000,18400,129,142
Argentina (Premier Division),NO,168,69,16,Diestro,Mediocampista,250000,100,90,142
Argentina (Premier Division),NO,179,70,17,Diestro,Delantero,230000,100,85,142
Argentina (Second Division),NO,185,72,17,Zurdo,Delantero,250000,2100,95,142
Argentina (Second Division),NO,174,73,32,Diestro,Mediocampista,775000,14800,119,142
Argentina (Premier Division),NO,182,77,29,Zurdo,Mediocampista,3200000,25000,140,142
Argentina (Premier Division),NO,178,76,32,Diestro,Delantero,1300000,62000,138,142
Argentina (Premier Division),SI,176,77,18,Diestro,Mediocampista,1500000,10800,107,142
Argentina (Premier Division),NO,185,74,36,Diestro,Mediocampista,150000,10400,116,142
Argentina (Premier Division),NO,177,63,16,Diestro,Delantero,225000,100,80,141
Argentina (Premier Division),NO,175,73,32,Diestro,Mediocampista,1800000,21000,128,141
Argentina (Premier Division),SI,184,80,19,Diestro,Delantero,1600000,15600,119,141
Argentina (Premier Division),NO,180,71,20,Zurdo,Mediocampista,1600000,11200,116,141
Argentina (Premier Division),NO,184,86,32,Diestro,Defensor,1100000,18800,119,141
Argentina (Premier Division),NO,186,84,39,Diestro,Arquero,165000,21000,125,141
Argentina (Premier Division),NO,171,66,19,Diestro,Mediocampista,775000,5600,106,141
Argentina (Premier Division),NO,193,92,23,Zurdo,Arquero,2100000,21000,128,140
Argentina (Premier Division),SI,195,84,32,Diestro,Arquero,2300000,17200,126,140
Argentina (Premier Division),NO,184,83,28,Zurdo,Delantero,2400000,14000,122,140
Argentina (Premier Division),SI,178,79,29,Zurdo,Mediocampista,1900000,12400,119,140
Argentina (Premier Division),NO,179,82,22,Zurdo,Defensor,2100000,14800,128,140
Argentina (Premier Division),NO,175,75,28,Diestro,Delantero,2800000,22000,129,140
Argentina (Premier Division),NO,182,74,26,Diestro,Mediocampista,2500000,49000,125,140
Argentina (Premier Division),NO,182,69,40,Diestro,Arquero,125000,13200,127,140
Argentina (Premier Division),NO,173,58,16,Zurdo,Mediocampista,475000,100,93,140
Argentina (Premier Division),SI,178,81,33,Diestro,Delantero,950000,20000,130,140
Argentina (Premier Division),NO,178,76,18,Diestro,Defensor,700000,8000,109,140
Argentina (Premier Division),SI,175,69,30,Zurdo,Defensor,2400000,22000,131,140
Argentina (Premier Division),SI,187,79,30,Diestro,Defensor,1700000,128000,122,140
Argentina (Second Division),NO,166,64,20,Diestro,Mediocampista,600000,8800,120,140
Argentina (Premier Division),NO,185,79,17,Diestro,Delantero,500000,100,91,140
Argentina (Premier Division),NO,179,68,21,Diestro,Defensor,775000,7200,115,140
Argentina (Premier Division),SI,172,72,28,Zurdo,Defensor,2800000,24000,132,140
Argentina (Premier Division),SI,187,91,31,Diestro,Arquero,2200000,14800,134,140
Argentina (Premier Division),NO,168,71,32,Diestro,Delantero,1500000,16000,126,140
Argentina (Second Division),NO,186,83,20,Diestro,Defensor,950000,12000,110,140
Argentina (Premier Division),NO,184,77,18,Diestro,Mediocampista,625000,4400,93,140
Argentina (Premier Division),NO,184,86,35,Diestro,Mediocampista,140000,12000,115,140
Argentina (Second Division),NO,173,72,33,Diestro,Delantero,350000,12800,115,140
Argentina (Premier Division),NO,174,67,20,Diestro,Mediocampista,925000,9600,111,140
Argentina (Premier Division),NO,173,66,24,Diestro,Defensor,1800000,14400,132,140
Argentina (Premier Division),NO,185,78,30,Zurdo,Defensor,2200000,27000,125,140
Argentina (Premier Division),NO,187,84,33,Diestro,Arquero,900000,18400,127,140
Argentina (Premier Division),NO,194,88,35,Diestro,Arquero,500000,19600,128,140
Argentina (Premier Division),NO,183,80,20,Diestro,Mediocampista,1000000,9200,111,140
Argentina (Premier Division),NO,183,76,34,Diestro,Defensor,275000,16000,124,140
Argentina (Second Division),NO,171,69,29,Zurdo,Delantero,575000,7200,106,140
Argentina (Premier Division),NO,178,72,17,Zurdo,Delantero,250000,100,85,140
Argentina (Premier Division),NO,170,66,25,Diestro,Delantero,2000000,18400,125,140
Argentina (Premier Division),NO,181,77,24,Diestro,Delantero,2000000,18000,128,140
Argentina (Premier Division),SI,176,74,26,Zurdo,Mediocampista,3000000,22000,128,140
Argentina (Premier Division),SI,175,70,23,Diestro,Delantero,3300000,24000,136,140
Argentina (Premier Division),NO,179,88,29,Diestro,Delantero,3100000,23000,131,140
Argentina (Premier Division),SI,182,78,21,Diestro,Defensor,2700000,16400,130,140
Argentina (Premier Division),NO,191,83,30,Diestro,Defensor,1400000,17200,115,140
Argentina (Premier Division),NO,169,69,27,Diestro,Delantero,3100000,23000,128,140
Argentina (Premier Division),NO,176,76,30,Diestro,Delantero,2500000,22000,134,140
Argentina (Premier Division),NO,172,65,19,Diestro,Mediocampista,500000,100,100,140
Argentina (Premier Division),NO,180,68,23,Diestro,Mediocampista,2600000,15200,127,140
Argentina (Premier Division),SI,175,69,31,Diestro,Mediocampista,1500000,13600,122,140
Argentina (Premier Division),NO,175,68,18,Diestro,Mediocampista,190000,1900,70,139
Argentina (Premier Division),NO,175,74,23,Diestro,Delantero,3000000,16400,128,139
Argentina (Premier Division),NO,176,65,23,Zurdo,Mediocampista,3100000,23000,129,139
Argentina (Premier Division),NO,184,85,30,Diestro,Arquero,2000000,23000,133,139
Argentina (Premier Division),NO,171,66,18,Zurdo,Defensor,425000,100,95,139
Argentina (Premier Division),NO,173,57,16,Zurdo,Mediocampista,245000,100,84,139
Argentina (Premier Division),NO,184,71,19,Diestro,Mediocampista,775000,8000,106,139
Argentina (Premier Division),SI,180,83,26,Zurdo,Defensor,3000000,38000,128,139
Argentina (Premier Division),NO,179,71,17,Diestro,Defensor,225000,100,88,139
Argentina (Premier Division),NO,186,77,18,Diestro,Arquero,475000,6400,99,139
Argentina (Premier Division),NO,180,75,20,Diestro,Defensor,1900000,18400,121,139
Argentina (Premier Division),NO,184,78,40,Diestro,Arquero,110000,12000,114,139
Argentina (Premier Division),NO,180,70,16,Zurdo,Defensor,220000,100,85,139
Argentina (Premier Division),NO,185,77,20,Zurdo,Defensor,875000,100,112,139
Argentina (Premier Division),SI,181,80,28,Diestro,Delantero,3200000,16800,133,139
Argentina (Second Division),NO,173,68,18,Diestro,Delantero,250000,3200,98,139
Argentina (Second Division),NO,184,76,18,Diestro,Delantero,700000,7600,107,139
Argentina (Metropolitan Zone),NO,189,83,20,Diestro,Defensor,375000,7200,103,138
Argentina (Second Division),NO,177,67,18,Ambidiestro,Mediocampista,350000,3000,93,138
Argentina (Second Division),NO,179,73,19,Diestro,Delantero,1200000,600,113,138
Argentina (Premier Division),SI,185,76,21,Diestro,Mediocampista,925000,11200,106,138
Argentina (Premier Division),NO,185,78,28,Diestro,Defensor,2200000,20000,128,138
Argentina (Premier Division),NO,188,83,24,Diestro,Arquero,1200000,12400,129,138
Argentina (Premier Division),NO,171,69,20,Diestro,Defensor,1600000,16400,119,138
Argentina (Premier Division),NO,183,79,20,Diestro,Defensor,700000,11200,111,138
Argentina (Second Division),NO,165,64,22,Zurdo,Mediocampista,1800000,14000,124,138
Argentina (Premier Division),NO,177,70,26,Diestro,Mediocampista,1500000,15200,120,138
Argentina (Premier Division),NO,182,76,21,Zurdo,Defensor,750000,7200,102,138
Argentina (Premier Division),NO,182,76,19,Zurdo,Defensor,275000,3000,96,138
Argentina (Metropolitan Zone),NO,179,70,24,Zurdo,Mediocampista,29500,560,114,138
Argentina (Premier Division),NO,179,72,23,Diestro,Arquero,2500000,17200,129,138
Argentina (Premier Division),NO,168,58,17,Diestro,Mediocampista,225000,100,85,138
Argentina (Premier Division),NO,168,56,16,Zurdo,Mediocampista,525000,4400,88,138
Argentina (Premier Division),NO,184,76,19,Diestro,Arquero,275000,4000,100,138
Argentina (Premier Division),NO,169,61,19,Zurdo,Delantero,650000,100,97,138
Argentina (Premier Division),SI,179,76,32,Diestro,Delantero,1400000,17600,124,138
Argentina (Premier Division),NO,166,66,34,Zurdo,Delantero,190000,12400,119,138
Argentina (Premier Division),NO,195,83,17,Diestro,Arquero,325000,100,98,138
Argentina (Premier Division),NO,179,72,21,Zurdo,Defensor,825000,11200,108,138
Argentina (Premier Division),NO,182,71,23,Diestro,Defensor,1700000,14000,127,138
Argentina (Premier Division),NO,179,71,33,Diestro,Mediocampista,750000,21000,131,138
Argentina (Premier Division),NO,179,61,17,Diestro,Mediocampista,425000,4400,95,138
Argentina (Premier Division),NO,179,74,20,Diestro,Delantero,1200000,10400,115,138
Argentina (Premier Division),NO,173,70,23,Diestro,Defensor,2000000,14800,126,138
Argentina (Second Division),NO,182,85,21,Diestro,Defensor,575000,9600,113,138
Argentina (Premier Division),NO,169,64,19,Zurdo,Delantero,1100000,14400,118,137
Argentina (Premier Division),NO,176,82,33,Zurdo,Mediocampista,800000,16400,124,137
Argentina (Second Division),NO,170,55,16,Zurdo,Mediocampista,275000,3200,91,137
Argentina (Second Division),NO,168,67,32,Diestro,Mediocampista,625000,11200,107,137
Argentina (Premier Division),SI,170,71,29,Diestro,Mediocampista,2400000,39000,127,137
Argentina (Second Division),NO,178,76,23,Diestro,Mediocampista,1100000,10800,114,137
Argentina (Premier Division),NO,178,65,18,Diestro,Mediocampista,625000,4800,100,137
Argentina (Metropolitan Zone),NO,180,77,37,Diestro,Defensor,33500,7200,104,137
Argentina (Second Division),SI,173,78,24,Diestro,Delantero,700000,29000,131,137
Argentina (Second Division),NO,188,84,22,Diestro,Defensor,850000,9200,112,137
Argentina (Premier Division),NO,174,64,25,Diestro,Defensor,2400000,18400,122,137
Argentina (Premier Division),NO,169,65,23,Diestro,Mediocampista,1800000,14000,123,137
Argentina (Second Division),NO,167,63,18,Diestro,Delantero,225000,2700,85,137
Argentina (Premier Division),NO,180,69,18,Diestro,Delantero,245000,100,95,137
Argentina (Premier Division),NO,170,70,25,Diestro,Mediocampista,2600000,14800,130,137
Argentina (Premier Division),NO,167,64,25,Diestro,Defensor,3000000,23000,130,137
Argentina (Premier Division),NO,175,73,19,Diestro,Defensor,850000,12000,117,137
Argentina (Premier Division),NO,167,63,21,Diestro,Mediocampista,1100000,14000,112,137
Argentina (Second Division),NO,180,80,36,Diestro,Delantero,120000,12400,119,137
Argentina (Premier Division),NO,170,66,19,Zurdo,Mediocampista,500000,100,90,137
Argentina (Premier Division),NO,179,74,23,Zurdo,Mediocampista,2000000,12800,122,137
Argentina (Premier Division),SI,180,70,24,Diestro,Defensor,2500000,21000,133,137
Argentina (Premier Division),NO,166,65,26,Diestro,Delantero,1900000,14400,126,137
Argentina (Premier Division),NO,184,73,17,Zurdo,Delantero,375000,4000,90,137
Argentina (Premier Division),NO,176,74,20,Zurdo,Mediocampista,775000,8800,116,137
Argentina (Premier Division),NO,169,67,25,Diestro,Delantero,3100000,20000,133,136
Argentina (Premier Division),SI,176,70,26,Diestro,Delantero,3400000,24000,136,136
Argentina (Premier Division),NO,181,80,28,Diestro,Arquero,1900000,17600,130,136
Argentina (Second Division),NO,179,75,29,Diestro,Delantero,1100000,11600,118,136
Argentina (Premier Division),NO,192,88,24,Zurdo,Defensor,2200000,20000,127,136
Argentina (Premier Division),NO,172,68,25,Zurdo,Defensor,2200000,19200,123,136
Argentina (Second Division),NO,177,72,22,Diestro,Mediocampista,625000,8800,110,136
Argentina (Premier Division),NO,175,68,18,Zurdo,Mediocampista,475000,100,96,136
Argentina (Second Division),NO,180,65,17,Diestro,Mediocampista,725000,6000,103,136
Argentina (Premier Division),SI,192,79,18,Diestro,Arquero,48000,1200,101,136
Argentina (Premier Division),NO,156,61,21,Diestro,Mediocampista,2300000,18800,123,136
Argentina (Premier Division),NO,167,64,24,Diestro,Mediocampista,2600000,21000,127,136
Argentina (Premier Division),NO,176,62,16,Diestro,Mediocampista,210000,2000,81,136
Argentina (Premier Division),NO,167,58,20,Diestro,Delantero,650000,100,95,136
Argentina (Second Division),NO,182,69,17,Diestro,Arquero,135000,2300,92,136
Argentina (Premier Division),NO,172,67,18,Zurdo,Delantero,425000,3900,97,136
Argentina (Premier Division),NO,180,80,21,Zurdo,Defensor,800000,6400,109,136
Argentina (Premier Division),NO,176,65,17,Diestro,Delantero,325000,100,92,136
Argentina (Second Division),NO,185,90,28,Diestro,Delantero,600000,8000,109,136
Argentina (Premier Division),NO,180,68,16,Zurdo,Defensor,160000,100,76,136
Argentina (Premier Division),NO,181,79,21,Diestro,Mediocampista,950000,12000,114,136
Argentina (Premier Division),NO,187,76,19,Diestro,Arquero,650000,100,104,136
Argentina (Premier Division),NO,182,73,16,Diestro,Delantero,500000,3700,90,136
Argentina (Premier Division),NO,178,73,18,Diestro,Delantero,375000,100,90,136
Argentina (Premier Division),NO,171,66,19,Zurdo,Delantero,1100000,9200,113,136
Argentina (Premier Division),NO,164,60,22,Diestro,Delantero,2000000,16800,123,136
Argentina (Premier Division),NO,163,66,23,Diestro,Mediocampista,2200000,14000,123,136
Argentina (Premier Division),NO,180,69,16,Diestro,Defensor,190000,100,85,136
Argentina (Premier Division),NO,168,71,34,Diestro,Delantero,375000,16400,130,136
Argentina (Premier Division),SI,166,64,32,Diestro,Mediocampista,1600000,90000,136,136
Argentina (Premier Division),NO,185,70,20,Diestro,Arquero,700000,7200,108,136
Argentina (Premier Division),SI,185,76,23,Diestro,Arquero,1600000,13600,122,136
Argentina (Premier Division),NO,170,68,34,Diestro,Mediocampista,230000,11200,119,136
Argentina (Premier Division),NO,175,70,21,Diestro,Defensor,1100000,15200,117,136
Argentina (Premier Division),NO,182,79,20,Diestro,Arquero,500000,4800,100,136
Argentina (Premier Division),NO,186,74,17,Diestro,Defensor,300000,100,96,136
Argentina (Premier Division),NO,184,77,34,Zurdo,Defensor,190000,16000,124,136
Argentina (Premier Division),SI,186,86,38,Diestro,Delantero,275000,15200,124,136
Argentina (Premier Division),NO,179,77,20,Diestro,Mediocampista,975000,12000,110,136
Argentina (Premier Division),NO,177,68,19,Diestro,Mediocampista,775000,8000,109,136
Argentina (Premier Division),NO,172,66,18,Zurdo,Delantero,1900000,12800,114,135
Argentina (Premier Division),SI,173,69,18,Diestro,Mediocampista,800000,6000,107,135
Argentina (Second Division),NO,174,67,23,Diestro,Delantero,1400000,13600,122,135
Argentina (Premier Division),NO,172,66,19,Zurdo,Delantero,900000,9600,107,135
Argentina (Second Division),NO,187,87,32,Diestro,Arquero,1100000,13600,121,135
Argentina (Premier Division),SI,185,82,29,Diestro,Defensor,2200000,20000,127,135
Argentina (Premier Division),NO,171,73,32,Diestro,Delantero,1800000,22000,127,135
Argentina (Premier Division),NO,176,76,24,Diestro,Delantero,2900000,5200,129,135
Argentina (Premier Division),NO,194,86,34,Diestro,Defensor,375000,16400,123,135
Argentina (Premier Division),SI,172,67,16,Diestro,Arquero,10000,220,85,135
Argentina (Second Division),NO,187,79,22,Diestro,Mediocampista,950000,9600,115,135
Argentina (Second Division),NO,176,78,35,Zurdo,Mediocampista,105000,13600,118,135
Argentina (Premier Division),NO,183,75,21,Diestro,Mediocampista,375000,4400,103,135
Argentina (Second Division),NO,187,78,20,Diestro,Defensor,500000,6800,104,135
Argentina (Second Division),NO,189,85,24,Diestro,Defensor,625000,10000,116,135
Argentina (Premier Division),NO,185,78,22,Diestro,Arquero,575000,7600,110,135
Argentina (Second Division),NO,189,85,23,Diestro,Defensor,625000,8000,112,135
Argentina (Premier Division),NO,187,86,31,Diestro,Delantero,1300000,12400,127,135
Argentina (Premier Division),NO,182,77,21,Diestro,Defensor,725000,7600,99,135
Argentina (Second Division),NO,163,65,36,Diestro,Delantero,68000,9200,113,135
Argentina (Second Division),NO,185,80,23,Diestro,Delantero,600000,8000,109,135
Argentina (Second Division),NO,170,70,35,Diestro,Mediocampista,165000,16400,118,135
Argentina (Premier Division),NO,188,78,27,Zurdo,Mediocampista,3200000,18400,131,135
Argentina (Interior Zone),NO,185,83,36,Zurdo,Arquero,38500,8400,108,135
Argentina (Premier Division),NO,184,82,31,Diestro,Arquero,1700000,18000,123,135
Argentina (Premier Division),NO,175,73,30,Diestro,Mediocampista,2100000,71000,125,135
Argentina (Premier Division),NO,179,72,18,Zurdo,Mediocampista,1000000,100,105,135
Argentina (Premier Division),NO,176,78,38,Diestro,Defensor,180000,14000,116,135
Argentina (Premier Division),NO,181,75,32,Diestro,Arquero,1700000,4400,125,135
Argentina (Premier Division),NO,168,64,31,Zurdo,Mediocampista,1700000,17600,123,135
Argentina (Premier Division),NO,187,84,20,Diestro,Defensor,400000,3300,101,135
Argentina (Premier Division),NO,177,71,22,Diestro,Mediocampista,925000,8800,110,135
Argentina (Premier Division),NO,175,73,29,Zurdo,Mediocampista,2200000,21000,128,135
Argentina (Second Division),NO,184,80,22,Diestro,Arquero,625000,9600,113,135
Argentina (Second Division),NO,187,84,24,Diestro,Arquero,1300000,15600,126,135
Argentina (Second Division),NO,170,71,22,Diestro,Mediocampista,1200000,10400,116,135
Argentina (Second Division),SI,191,80,30,Diestro,Delantero,1700000,15200,116,135
Argentina (Second Division),NO,191,80,22,Diestro,Arquero,550000,9600,116,135
Argentina (Second Division),NO,178,76,38,Diestro,Mediocampista,135000,13600,115,135
Argentina (Premier Division),NO,187,74,20,Diestro,Arquero,425000,4400,99,135
Argentina (Second Division),NO,168,65,32,Diestro,Delantero,325000,8800,111,135
Argentina (Premier Division),NO,171,67,25,Zurdo,Mediocampista,2000000,18000,126,135
Argentina (Premier Division),NO,181,82,31,Diestro,Defensor,550000,8800,117,135
Argentina (Second Division),NO,181,78,22,Diestro,Defensor,625000,9600,111,135
Argentina (Premier Division),SI,175,68,22,Diestro,Mediocampista,1700000,12400,121,135
Argentina (Premier Division),SI,192,80,32,Zurdo,Delantero,775000,10400,114,135
Argentina (Second Division),NO,179,78,21,Diestro,Defensor,650000,9600,114,135
Argentina (Premier Division),NO,182,70,25,Zurdo,Delantero,775000,17600,124,135
Argentina (Premier Division),NO,174,68,18,Diestro,Delantero,500000,3700,100,135
Argentina (Premier Division),NO,193,92,35,Diestro,Defensor,185000,14000,124,135
